month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
2019-07,Texas,21477,0,34215,21520,3002,1887,2,71,46,5,5676,3098,34,63,4,0,0,0,43,32,5,1,1,1,91183
2019-07,Utah,14092,55855,2558,2495,269,0,0,1,1,1,265,248,0,152,49,16,0,0,0,0,0,0,0,0,76002
2019-07,Vermont,0,0,1005,978,122,62,5,0,0,0,3,3,0,0,0,0,0,0,1,4,0,0,0,0,2183
2019-07,Virgin Islands,25,0,45,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
2019-07,Virginia,670,151,19139,9731,2757,0,0,0,0,0,0,0,0,56,8,1,0,0,0,0,0,0,0,0,32513
2019-07,Washington,13468,217,12636,5788,2716,39,14,1,150,7,256,693,20,638,170,17,0,0,327,211,66,2,3,0,37439
2019-07,West Virginia,1951,84,4289,3610,229,292,0,8,6,1,958,823,1,10,0,1,0,0,18,6,0,2,0,0,12289
2019-07,Wisconsin,6733,541,9938,6714,746,48,0,0,0,5,126,184,3,94,32,0,0,0,0,6,0,0,0,0,25170
2019-07,Wyoming,790,7,1528,1587,136,101,1,5,2,0,144,161,2,0,0,0,0,0,1,2,0,0,2,0,4469
2019-06,Alabama,28449,499,6947,4521,298,432,0,19,14,2,1004,686,4,0,0,0,0,0,10,11,1,0,0,1,42898
2019-06,Alaska,251,6,2465,2000,239,182,0,0,0,0,202,130,3,29,22,0,0,0,14,12,2,0,0,0,5557
2019-06,Arizona,5371,438,11375,5931,1309,656,0,14,6,1,1059,442,5,97,11,4,0,0,13,7,5,2,0,0,26746
2019-06,Arkansas,2690,559,4653,3214,292,458,8,11,14,0,978,1055,2,0,0,0,0,0,9,10,1,0,2,0,13956
2019-06,California,39303,0,38712,27050,4856,0,5040,0,0,0,578,437,11,0,0,0,0,0,0,0,0,0,0,0,115987
2019-06,Colorado,5983,0,16013,10215,1360,913,0,0,0,0,0,0,0,250,39,0,0,0,0,0,0,0,0,0,34773
2019-06,Connecticut,7368,395,4296,1449,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14041
2019-06,Delaware,610,0,1364,907,122,45,0,1,1,0,13,7,0,65,0,0,0,0,39,22,4,1,3,0,3204
2019-06,District of Columbia,172,0,113,3,0,2,1,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,305
2019-06,Florida,15427,0,44378,13576,3642,2484,0,31,13,1,3714,1014,7,876,111,10,0,0,197,108,39,52,49,1,85730
2019-06,Georgia,14858,0,10549,5425,566,780,0,18,7,0,1739,939,14,0,0,0,0,0,10,5,0,0,0,0,34910
2019-06,Guam,0,0,123,46,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181
2019-06,Hawaii,856,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,857
2019-06,Idaho,8977,4,3599,3611,367,196,0,7,6,0,346,363,1,33,3,6,0,0,13,6,0,0,3,0,17541
2019-06,Illinois,12246,335793,17041,7321,0,765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373166
2019-06,Indiana,168,247044,15272,7963,1368,705,23,7,4,2,614,349,17,14,0,0,0,0,46,22,36,2,4,0,273660
2019-06,Iowa,3669,5749,117,1299,20,4,0,0,0,0,1,32,0,24,12,3,0,0,0,3,0,0,0,0,10933
2019-06,Kansas,1860,6,4133,2981,453,362,0,2,4,0,514,237,23,27,4,0,0,0,6,7,1,2,0,0,10622
2019-06,Kentucky,150731,202171,8520,4608,384,514,5,23,14,1,1588,995,1,18,19,0,0,0,14,14,1,0,1,0,369622
2019-06,Louisiana,1870,75,7874,4613,673,812,0,11,5,1,960,581,3,0,0,0,0,0,13,15,2,1,0,0,17509
2019-06,Maine,497,5,2616,2091,236,156,2,2,0,0,79,85,1,12,9,0,0,0,12,5,0,0,1,0,5809
2019-06,Mariana Islands,0,0,8,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2019-06,Maryland,2956,6,3097,3377,98,34,0,3,3,0,59,95,2,57,30,0,0,0,0,21,1,0,0,0,9839
2019-06,Massachusetts,9618,0,4203,1808,406,138,3,0,0,0,2,3,0,0,0,0,0,0,32,18,16,5,4,0,16256
2019-06,Michigan,17211,10,8445,5628,589,163,1,1,7,2,11,166,0,92,31,1,0,0,6,3,2,0,0,0,32369
2019-06,Minnesota,8929,21471,7316,6337,747,335,0,1,2,1,168,258,2,61,9,2,0,0,13,14,0,0,1,0,45667
